x(mm),film_Dose_X(Gy/MU)
-4,0.01007
-3.9,0.01019
-3.8,0.01017
-3.7,0.01015
-3.6,0.01016
-3.5,0.01022
-3.4,0.01035
-3.3,0.01034
-3.2,0.01035
-3.1,0.01051
-3,0.01053
-2.9,0.01039
-2.8,0.01045
-2.7,0.01061
-2.6,0.01064
-2.5,0.0107
-2.4,0.01076
-2.3,0.0107
-2.2,0.01073
-2.1,0.01081
-2,0.01088
-1.9,0.01087
-1.8,0.01074
-1.7,0.01086
-1.6,0.01104
-1.5,0.01118
-1.4,0.01105
-1.3,0.01077
-1.2,0.01073
-1.1,0.01083
-1,0.01083
-0.9,0.01072
-0.8,0.01075
-0.7,0.01085
-0.6,0.0109
-0.5,0.01088
-0.4,0.01105
-0.3,0.01114
-0.2,0.01089
-0.1,0.01081
0,0.01093
0.1,0.01103
0.2,0.01113
0.3,0.01108
0.4,0.01093
0.5,0.01075
0.6,0.01089
0.7,0.01115
0.8,0.01126
0.9,0.01116
1,0.01087
1.1,0.01084
1.2,0.01097
1.3,0.01088
1.4,0.01077
1.5,0.01069
1.6,0.01053
1.7,0.01062
1.8,0.01065
1.9,0.01045
2,0.01047
2.1,0.01058
2.2,0.01058
2.3,0.01058
2.4,0.01039
2.5,0.01029
2.6,0.01037
2.7,0.01038
2.8,0.01036
2.9,0.01034
3,0.01038
3.1,0.01014
3.2,0.00996
3.3,0.01012
3.4,0.01011
3.5,0.01005
3.6,0.00991
3.7,0.00988
3.8,0.01002
3.9,0.01003
4,0.00987
4.1,0.00967
4.2,0.00967
4.3,0.00968
4.4,0.00953
4.5,0.00951
4.6,0.00942
4.7,0.00932
4.8,0.00939
4.9,0.00928
5,0.00931
5.1,0.0093
5.2,0.00914
5.3,0.00915
5.4,0.00912
5.5,0.00909
5.6,0.00913
5.7,0.00901
5.8,0.00881
5.9,0.00863
6,0.00856
6.1,0.00863
6.2,0.00863
6.3,0.00854
6.4,0.00856
6.5,0.00856
6.6,0.00841
6.7,0.00827
6.8,0.00843
6.9,0.00839
7,0.00817
7.1,0.00818
7.2,0.00799
7.3,0.0079
7.4,0.00799
7.5,0.00794
7.6,0.00787
7.7,0.00777
7.8,0.00759
7.9,0.00751
8,0.00747
8.1,0.00745
8.2,0.00745
8.3,0.00732
8.4,0.00715
8.5,0.007
8.6,0.00697
8.7,0.00694
8.8,0.00685
8.9,0.00686
9,0.00675
9.1,0.00662
9.2,0.00669
9.3,0.00662
9.4,0.00642
9.5,0.00632
9.6,0.00628
9.7,0.00624
9.8,0.00618
9.9,0.0061
10,0.00615
10.1,0.00608
10.2,0.00594
10.3,0.00595
10.4,0.00587
10.5,0.00583
10.6,0.00571
10.7,0.00555
10.8,0.00554
10.9,0.00553
11,0.0054
11.1,0.00522
11.2,0.00516
11.3,0.00511
11.4,0.00504
11.5,0.00502
11.6,0.00499
11.7,0.00486
11.8,0.00472
11.9,0.00464
12,0.00459
12.1,0.00459
12.2,0.00448
12.3,0.00441
12.4,0.00447
12.5,0.00442
12.6,0.00431
12.7,0.00425
12.8,0.00429
12.9,0.00417
13,0.00401
13.1,0.00417
13.2,0.00419
13.3,0.00401
13.4,0.00391
13.5,0.00387
13.6,0.00383
13.7,0.00377
13.8,0.00364
13.9,0.00355
14,0.00346
14.1,0.00331
14.2,0.00329
14.3,0.00323
14.4,0.00316
14.5,0.0031
14.6,0.00301
14.7,0.00298
14.8,0.00299
14.9,0.00296
15,0.00294
15.1,0.00286
15.2,0.00274
15.3,0.00268
15.4,0.00269
15.5,0.00272
15.6,0.00261
15.7,0.00255
15.8,0.00255
15.9,0.00248
16,0.00241
16.1,0.00235
16.2,0.00229
16.3,0.00229
16.4,0.00236
16.5,0.00227
16.6,0.0022
16.7,0.00219
16.8,0.0021
16.9,0.00206
17,0.00205
17.1,0.00198
17.2,0.00195
17.3,0.00194
17.4,0.00189
17.5,0.00184
17.6,0.00179
17.7,0.00176
17.8,0.00173
17.9,0.00171
18,0.00169
18.1,0.00166
18.2,0.00162
18.3,0.00156
18.4,0.00153
